hospital_count,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Hospital Ownership,Hospital Type,State,County Name,ZIP Code
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TN,GREENE,37745
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,LUCAS,43606
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Government - Local,Critical Access Hospitals,OH,FAYETTE,43160
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,WA,PIERCE,98499
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,TX,GREGG,75662
1,Not Available,Not Available,Same as the national average,Not Available,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,WI,TREMPEALEAU,54758
1,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WY,GOSHEN,82240
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,ORANGE,92663
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,KY,FAYETTE,40504
1,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,MO,SAINT LOUIS,63141
1,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,PA,UNION,17837
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,FL,PINELLAS,33705
1,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,CA,SAN DIEGO,92103
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,CA,LOS ANGELES,91733
1,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,AZ,NAVAJO,85901
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,AZ,MARICOPA,85037
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,AR,LOGAN,72927
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,AR,PULASKI,72202
1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,CA,LOS ANGELES,91342
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,COOK,60160
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,ID,GOODING,83330
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IA,LYON,51246
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,GA,EARLY,39823
1,Not Available,Not Available,Not Available,Same as the national average,Not Available,Proprietary,Critical Access Hospitals,IA,FREMONT,51640
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Government - Local,Critical Access Hospitals,IA,WRIGHT,50525
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IA,CLAYTON,52043
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,JACKSON,62902
1,Not Available,Not Available,Not Available,Above the national average,Not Available,Proprietary,Critical Access Hospitals,MN,LAC QUI PARLE,56256
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,MA,SUFFOLK,2115
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MS,WINSTON,39339
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Proprietary,Critical Access Hospitals,OR,CLATSOP,97103
1,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,PA,LANCASTER,17522
1,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Church,Acute Care Hospitals,PA,BERKS,19605
1,Not Available,Not Available,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,SC,DARLINGTON,29540
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,BUTLER,45014
1,Below the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,OK,ATOKA,74525
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WA,SAN JUAN,98250
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,WI,BARRON,54829
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,WA,FERRY,99166
1,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,WA,COWLITZ,98632
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,UT,CARBON,84501
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WV,BRAXTON,26624
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,TX,BRAZOS,77842
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,DUTCHESS,12572
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,FL,POLK,33853
1,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,AR,MISSISSIPPI,72315
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,FL,CITRUS,34428
1,Not Available,Above the national average,Not Available,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IL,TAZEWELL,61747
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Local,Critical Access Hospitals,IN,PUTNAM,46135
1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Government - State,Acute Care Hospitals,NY,KINGS,11203
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MI,GOGEBIC,49938
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MS,KEMPER,39328
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,CAMDEN,8009
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,SCHUYLKILL,18218
1,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Tribal,Acute Care Hospitals,OK,LATIMER,74571
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,ND,RANSOM,58054
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,OR,COOS,97423
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,TN,MCMINN,37371
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,PA,LYCOMING,17756
1,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Church,Acute Care Hospitals,WA,SPOKANE,99204
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,TX,TRAVIS,78759
1,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WA,CHELAN,98807
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,FL,MIAMI-DADE,33175
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Critical Access Hospitals,AR,CROSS,72396
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,FL,MONROE,33070
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,IN,MARION,46256
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,WILLIAMSON,62948
1,Same as the national average,Same as the national average,Not Available,Same as the national average,Below the national average,Voluntary non-profit - Private,Critical Access Hospitals,KS,BROWN,66434
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,COOK,60613
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Government - Local,Acute Care Hospitals,KS,FRANKLIN,66067
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,MN,ANOKA,55433
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MT,RAVALLI,59840
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MT,CASCADE,59405
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,MI,MIDLAND,48670
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,OH,CUYAHOGA,44143
1,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TN,BENTON,38320
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,TN,CARROLL,38201
1,Below the national average,Same as the national average,Below the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,OK,LE FLORE,74953
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,ALLEGHENY,15146
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NC,SWAIN,28713
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,PA,BEDFORD,15537
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Local,Acute Care Hospitals,ND,GRAND FORKS,58201
1,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Proprietary,Acute Care Hospitals,TX,BEXAR,78205
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,UT,WEBER,84405
1,Not Available,Not Available,Not Available,Not Available,Not Available,Physician,Acute Care Hospitals,WV,KANAWHA,25301
1,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,JAMES CITY,23188
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,NEWPORT NEWS CITY,23602
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WI,SAINT CROIX,54017
1,Same as the national average,Below the national average,Not Available,Not Available,Not Available,Tribal,Acute Care Hospitals,AK,BETHEL,99559
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,ME,AROOSTOOK,4769
1,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,ND,PEMBINA,58220
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,GA,FORSYTH,30041
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,AR,YELL,72833
1,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,CA,RIVERSIDE,92563
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,GA,WHITFIELD,30720
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,GA,EVANS,30417
1,Above the national average,Below the national average,Same as the national average,Below the national average,Not Available,Proprietary,Acute Care Hospitals,AZ,MARICOPA,85006
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Government - Local,Critical Access Hospitals,IN,RUSH,46173
1,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,Government - Local,Critical Access Hospitals,NE,JOHNSON,68450
1,Not Available,Not Available,Not Available,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NE,COLFAX,68661
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,MI,KALAMAZOO,49048
1,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,TX,DALLAS,75203
1,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Government - Hospital District or Authority,Acute Care Hospitals,NC,NASH,27804
1,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Government - Hospital District or Authority,Acute Care Hospitals,SC,SPARTANBURG,29303
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OK,OKLAHOMA,73034
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,SD,BON HOMME,57066
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,ME,PENOBSCOT,4401
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,HASKELL,79521
1,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Proprietary,Acute Care Hospitals,FL,BROWARD,33331
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,CA,LOS ANGELES,90712
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,CA,SACRAMENTO,95817
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,CA,RIVERSIDE,92562
1,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,CA,EL DORADO,95667
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,IA,FRANKLIN,50441
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Voluntary non-profit - Other,Acute Care Hospitals,IA,SCOTT,52803
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IN,LAKE,46321
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IN,GIBSON,47670
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Government - Local,Acute Care Hospitals,LA,CLAIBORNE,71040
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IN,ALLEN,46845
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,ERIE,14220
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NM,MCKINLEY,87301
1,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,MORRIS,7444
1,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Government - Hospital District or Authority,Critical Access Hospitals,NE,KEITH,69153
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,OH,ATHENS,45701
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,OH,STARK,44601
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,UT,SAN JUAN,84535
1,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Physician,Acute Care Hospitals,TX,HIDALGO,78539
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,CONCHO,76837
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,DALLAS,75231
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WV,MORGAN,25411
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,WI,CHIPPEWA,54729
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,UT,WASHINGTON,84790
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,DC,DISTRICT OF COLUMBIA,20060
1,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,SHELBY,62565
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,LA,TERREBONNE,70360
1,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,KY,JEFFERSON,40207
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,GA,FULTON,30076
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,IA,GUTHRIE,50115
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,LA,TANGIPAHOA,70403
1,Not Available,Not Available,Same as the national average,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MN,BIG STONE,56240
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Government - Local,Acute Care Hospitals,NY,SAINT LAWRENCE,13662
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,NM,DONA ANA,88011
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MN,TRAVERSE,56296
1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,ERIE,14210
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available,Proprietary,Acute Care Hospitals,MO,SAINT LOUIS CITY,63118
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,SC,HAMPTON,29944
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,TN,GILES,38478
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,CUYAHOGA,44124
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,PA,PHILADELPHIA,19102
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,SC,ANDERSON,29621
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,OH,FRANKLIN,43205
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,BRAZOS,77802
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OK,OTTAWA,74355
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Critical Access Hospitals,WA,OKANOGAN,98841
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Critical Access Hospitals,WA,ISLAND,98239
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,DE,NEW CASTLE,19805
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MA,DUKES,2557
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,TX,VICTORIA,77902
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,FL,PINELLAS,33709
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Government - Local,Acute Care Hospitals,AZ,MARICOPA,85008
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,FL,BROWARD,33321
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,AR,SAINT FRANCIS,72335
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,MA,WORCESTER,1605
