order_id,Month_wise,year_wise,Ship Date,sum_sales,total_profit,Category,Sub-Category,State/Province,Region
US-2022-133648,June,2022,2022-07-02,71.04,26.64,Office Supplies,Labels,Oregon,West
US-2022-100650,June,2022,2022-07-03,1295.78,310.9872,Office Supplies,Storage,California,West
US-2022-131037,August,2022,2022-08-23,210.008,2.6251,Furniture,Tables,California,West
US-2022-149559,September,2022,2022-09-12,2054.272,256.784,Furniture,Chairs,California,West
US-2022-160325,September,2022,2022-09-24,829.83,241.1094,Technology,Phones,Massachusetts,East
US-2022-136868,October,2022,2022-10-12,344.91,10.3473,Office Supplies,Storage,New York,East
US-2022-136868,October,2022,2022-10-12,319.96,115.1856,Technology,Accessories,New York,East
US-2022-143567,November,2022,2022-11-05,5.32,2.6068,Office Supplies,Envelopes,Kentucky,South
US-2022-121160,November,2022,2022-11-04,52.752,-12.5286,Office Supplies,Storage,Texas,Central
US-2022-168116,November,2022,2022-11-04,7999.98,-3839.9904,Technology,Machines,North Carolina,South
US-2022-114657,November,2022,2022-11-21,52.44,24.1224,Technology,Machines,New York,East
US-2022-111556,November,2022,2022-11-22,1259.97,327.5922,Technology,Phones,New York,East
US-2022-133312,November,2022,2022-11-29,10.48,2.8296,Office Supplies,Storage,California,West
US-2022-118003,December,2022,2022-12-10,12.99,1.5588,Furniture,Furnishings,New Jersey,East
US-2022-168389,December,2022,2022-12-17,13.584,1.3584,Office Supplies,Art,Florida,South
US-2022-151799,December,2022,2022-12-18,17.28,8.1216,Office Supplies,Fasteners,Massachusetts,East
US-2022-117933,December,2022,2022-12-29,35.91,9.6957,Office Supplies,Appliances,New York,East
US-2019-104759,March,2019,2019-04-04,79.984,13.9972,Technology,Accessories,Illinois,Central
US-2019-102988,April,2019,2019-04-09,4164.05,83.281,Office Supplies,Supplies,Virginia,South
US-2019-147298,April,2019,2019-05-03,230.28,23.028,Furniture,Chairs,California,West
US-2019-148194,May,2019,2019-05-07,12.18,3.8976,Furniture,Furnishings,Washington,West
US-2019-163552,July,2019,2019-07-15,197.97,57.4113,Technology,Phones,New Jersey,East
US-2019-137092,October,2019,2019-10-22,8.682,-14.7594,Office Supplies,Binders,Illinois,Central
US-2019-139542,October,2019,2019-10-29,null,0.7,Office Supplies,Binders,Pennsylvania,East
US-2019-140452,December,2019,2019-12-10,214.95,-120.372,Furniture,Tables,Illinois,Central
US-2020-156482,February,2020,2020-02-13,5.68,1.7608,Office Supplies,Art,Delaware,East
US-2020-156923,February,2020,2020-02-20,35.88,16.146,Office Supplies,Paper,New Hampshire,East
US-2020-115742,April,2020,2020-04-22,89.99,17.0981,Furniture,Chairs,Indiana,Central
US-2020-140144,June,2020,2020-06-25,125.976,47.241,Technology,Phones,California,West
US-2020-147242,September,2020,2020-09-14,61.96,16.1096,Office Supplies,Appliances,Massachusetts,East
US-2020-132465,September,2020,2020-09-15,851.4799999999999,109.7512,Office Supplies,Storage,New York,East
US-2020-164623,October,2020,2020-10-22,24.56,11.5432,Office Supplies,Paper,New York,East
US-2020-109386,November,2020,2020-11-13,186.54,41.0388,Furniture,Furnishings,Virginia,South
US-2020-110247,December,2020,2020-12-08,8.226,-6.0324,Office Supplies,Binders,Florida,South
US-2020-149566,December,2020,2020-12-10,12.6,6.048,Office Supplies,Labels,California,West
US-2020-115693,December,2020,2020-12-15,56.3,15.764,Office Supplies,Art,California,West
US-2021-108504,February,2021,2021-02-05,80.98,1.6196,Office Supplies,Storage,Georgia,South
US-2021-107615,March,2021,2021-03-25,58.58,19.3314,Technology,Accessories,Nevada,West
US-2021-169943,May,2021,2021-05-24,242.9,70.441,Office Supplies,Appliances,New York,East
US-2021-107783,July,2021,2021-07-29,1369.764,-913.176,Office Supplies,Binders,Pennsylvania,East
US-2021-144211,August,2021,2021-09-02,108.576,8.1432,Technology,Phones,Colorado,West
US-2021-129714,September,2021,2021-09-03,4358.215999999999,1416.4964,Office Supplies,Binders,New York,East
US-2021-142902,September,2021,2021-09-14,466.768,52.5114,Furniture,Chairs,Colorado,West
US-2021-100944,September,2021,2021-09-28,null,0,Office Supplies,Envelopes,California,West
US-2021-113978,September,2021,2021-09-29,355.76,-87.7288,Office Supplies,Storage,Ohio,East
US-2021-110170,September,2021,2021-10-03,956.6648,-225.0976,Furniture,Bookcases,Texas,Central
US-2021-144729,October,2021,2021-10-25,null,0,Office Supplies,Storage,California,West
US-2021-115588,November,2021,2021-11-12,38.976,-2.436,Office Supplies,Storage,Ohio,East
US-2022-161333,February,2022,2022-02-07,139.04,38.9312,Office Supplies,Storage,California,West
US-2022-147753,March,2022,2022-03-05,25.06,11.7782,Office Supplies,Labels,Wisconsin,Central
US-2022-125101,March,2022,2022-03-10,67.78,16.945,Office Supplies,Storage,California,West
US-2022-141558,March,2022,2022-03-16,43.28,3.246,Office Supplies,Storage,Pennsylvania,East
US-2022-136511,March,2022,2022-03-25,347.58,17.379,Office Supplies,Supplies,New York,East
US-2022-140151,March,2022,2022-03-25,13999.96,6719.9808,Technology,Copiers,Washington,West
US-2022-156895,May,2022,2022-05-12,128.058,-23.7822,Furniture,Chairs,Pennsylvania,East
US-2022-128944,June,2022,2022-06-21,38.784,7.272,Furniture,Furnishings,Ohio,East
US-2022-105053,July,2022,2022-07-09,17.472,6.3336,Office Supplies,Binders,New York,East
US-2022-101182,September,2022,2022-09-05,43.176,15.1116,Technology,Phones,California,West
US-2022-139913,October,2022,2022-10-29,69.08,29.0136,Furniture,Furnishings,New York,East
US-2022-147760,November,2022,2022-11-05,523.764,-192.0468,Furniture,Tables,North Carolina,South
US-2022-102925,November,2022,2022-11-10,null,0,Furniture,Furnishings,New York,East
US-2022-125290,November,2022,2022-11-10,13.9,3.614,Office Supplies,Art,Minnesota,Central
US-2022-134285,December,2022,2022-12-12,15.552,5.4432,Office Supplies,Paper,Texas,Central
US-2022-109960,December,2022,2022-12-11,14.94,7.0218,Office Supplies,Paper,Michigan,Central
US-2022-146164,December,2022,2022-12-26,31.16,7.79,Office Supplies,Storage,Minnesota,Central
US-2022-148355,December,2022,2022-12-28,12.3,6.15,Office Supplies,Binders,Massachusetts,East
US-2022-147956,December,2022,2022-12-31,1003.62,0,Office Supplies,Storage,Washington,West
US-2019-107181,February,2019,2019-02-08,null,4,Office Supplies,Paper,California,West
US-2019-164749,March,2019,2019-03-26,9.912,3.2214,Office Supplies,Labels,Florida,South
US-2019-158771,May,2019,2019-05-09,45.36,21.7728,Office Supplies,Paper,Kentucky,South
US-2019-169257,June,2019,2019-06-12,1.365,-0.91,Office Supplies,Binders,Florida,South
US-2019-127866,July,2019,2019-07-23,11.96,5.8604,Office Supplies,Paper,California,West
US-2019-138828,September,2019,2019-09-03,14.94,7.0218,Office Supplies,Paper,New York,East
US-2019-122882,September,2019,2019-09-13,64.784,-14.5764,Office Supplies,Storage,Pennsylvania,East
CA-2019-126438,September,2019,2019-09-13,14.88,3.72,Office Supplies,Art,Quebec,East
US-2019-145576,September,2019,2019-09-18,13,1.3,Office Supplies,Appliances,Florida,South
US-2019-110408,October,2019,2019-10-20,275.97,11.0388,Office Supplies,Storage,Alabama,South
US-2019-140732,November,2019,2019-11-13,123.92,55.764,Office Supplies,Paper,California,West
US-2019-134712,November,2019,2019-12-04,12.624,3.945,Office Supplies,Fasteners,Illinois,Central
US-2019-120852,December,2019,2019-12-25,65.44,-8.18,Technology,Accessories,Texas,Central
US-2020-153108,March,2020,2020-03-09,60.69,16.3863,Office Supplies,Appliances,Indiana,Central
US-2020-146255,March,2020,2020-03-10,587.97,170.5113,Technology,Phones,Delaware,East
US-2020-153500,July,2020,2020-07-05,451.352,27.096399999999996,Furniture,Furnishings,Pennsylvania,East
US-2020-122406,August,2020,2020-08-05,8.4,4.116,Office Supplies,Paper,Rhode Island,East
US-2020-117772,September,2020,2020-09-12,null,0,Office Supplies,Storage,Washington,West
US-2020-127173,September,2020,2020-10-03,629.93,296.0671,Technology,Machines,New York,East
US-2020-144274,November,2020,2020-11-25,307.98,89.3142,Technology,Phones,Delaware,East
US-2020-110016,November,2020,2020-12-04,1106.91,121.7601,Furniture,Chairs,Michigan,Central
US-2020-101091,December,2020,2020-12-09,26.064,-19.9824,Office Supplies,Binders,Pennsylvania,East
US-2021-164588,April,2021,2021-04-23,12.84,3.7236,Office Supplies,Art,Georgia,South
US-2021-115819,April,2021,2021-04-24,null,0,Office Supplies,Paper,California,West
US-2021-139941,June,2021,2021-06-17,null,0,Office Supplies,Paper,New York,East
US-2021-116526,September,2021,2021-09-05,376.74,71.162,Office Supplies,Appliances,Michigan,Central
US-2021-108868,September,2021,2021-09-12,70.368,6.1572,Office Supplies,Art,Texas,Central
US-2021-152415,September,2021,2021-09-22,206.64,67.60679999999999,Furniture,Furnishings,Massachusetts,East
US-2021-125815,October,2021,2021-11-01,12.42,5.2164,Office Supplies,Art,New York,East
US-2021-158575,November,2021,2021-11-24,103.968,16.8948,Office Supplies,Appliances,Ohio,East
US-2021-158288,November,2021,2021-11-28,78.759,-57.7566,Office Supplies,Binders,Pennsylvania,East
US-2022-136007,February,2022,2022-03-02,8.4,0.336,Office Supplies,Fasteners,Washington,West
US-2022-100930,April,2022,2022-04-12,854.4745,-350.29380000000003,Furniture,Tables,Florida,South
US-2022-140963,June,2022,2022-06-13,514.165,-30.245,Furniture,Bookcases,California,West
US-2022-129462,June,2022,2022-06-21,257.96999999999997,68.992,Technology,Phones,Kentucky,South
US-2022-141929,September,2022,2022-09-08,5.56,1.7375,Technology,Phones,California,West
US-2022-166898,September,2022,2022-09-13,143.952,17.994,Technology,Phones,California,West
US-2022-144904,September,2022,2022-10-01,488.646,86.8704,Furniture,Chairs,New York,East
US-2022-149160,November,2022,2022-11-26,28.4,11.076,Furniture,Furnishings,Michigan,Central
US-2022-122595,December,2022,2022-12-20,227.976,28.497,Technology,Accessories,Illinois,Central
US-2019-148194,May,2019,2019-05-07,57.68,19.0344,Office Supplies,Appliances,Washington,West
US-2019-166457,May,2019,2019-05-09,33.98,15.7822,Office Supplies,Paper,Kentucky,South
US-2019-106299,August,2019,2019-08-08,838.38,226.3626,Office Supplies,Storage,Missouri,Central
US-2019-142587,October,2019,2019-10-22,409.59,-122.877,Furniture,Tables,Ohio,East
US-2019-158372,November,2019,2019-11-16,10.99,4.2861,Technology,Accessories,California,West
US-2019-100762,November,2019,2019-11-29,160.08,77.1576,Office Supplies,Paper,Michigan,Central
US-2019-163034,November,2019,2019-11-28,646.2,-8.0775,Office Supplies,Storage,Illinois,Central
US-2019-112158,December,2019,2019-12-04,883.92,-110.49,Furniture,Bookcases,New York,East
US-2020-119480,January,2020,2020-01-13,163.44,45.7632,Office Supplies,Appliances,Kentucky,South
US-2020-132276,February,2020,2020-02-28,10.896,3.8136,Office Supplies,Binders,New York,East
US-2020-145352,March,2020,2020-03-22,6354.95,3177.475,Office Supplies,Binders,Georgia,South
US-2020-155306,April,2020,2020-04-21,11.96,5.8604,Office Supplies,Paper,California,West
US-2020-142020,June,2020,2020-06-08,30.44,14.3068,Office Supplies,Paper,New York,East
US-2020-127110,June,2020,2020-07-01,31.104,10.8864,Office Supplies,Paper,Pennsylvania,East
US-2020-155334,July,2020,2020-07-31,209.93,92.3692,Technology,Accessories,California,West
US-2020-165624,August,2020,2020-08-28,251.91,47.8629,Technology,Accessories,Georgia,South
US-2020-130848,October,2020,2020-10-25,582.336,-29.1168,Furniture,Chairs,Colorado,West
US-2020-137708,November,2020,2020-11-25,33.63,10.089,Office Supplies,Storage,California,West
US-2020-125423,December,2020,2020-12-15,9.96,4.5816,Office Supplies,Labels,California,West
US-2020-119550,December,2020,2020-12-31,275.058,-90.3762,Furniture,Chairs,Texas,Central
US-2020-117415,December,2020,2020-12-31,371.168,41.7564,Technology,Phones,Texas,Central
US-2020-120901,December,2020,2021-01-04,3.488,0.5668,Office Supplies,Fasteners,Texas,Central
US-2021-152800,April,2021,2021-04-15,6.12,2.8764,Office Supplies,Envelopes,California,West
US-2021-146836,May,2021,2021-05-02,44.94,12.5832,Office Supplies,Storage,New York,East
US-2021-164672,May,2021,2021-05-13,null,0,Furniture,Furnishings,Delaware,East
US-2021-125920,May,2021,2021-05-28,3.798,-5.8869,Office Supplies,Binders,Illinois,Central
US-2021-121377,May,2021,2021-06-02,286.4,25.06,Technology,Phones,Illinois,Central
US-2021-127369,June,2021,2021-06-07,714.3,207.147,Office Supplies,Storage,Massachusetts,East
US-2021-106950,September,2021,2021-09-06,40.131,-30.1931,Office Supplies,Binders,North Carolina,South
US-2021-145905,September,2021,2021-09-23,13.08,6.0168,Office Supplies,Paper,Alabama,South
US-2021-106656,September,2021,2021-09-26,4.08,1.9176,Office Supplies,Envelopes,California,West
US-2021-109260,September,2021,2021-10-01,431.976,-75.5958,Technology,Accessories,Florida,South
US-2022-139080,January,2022,2022-01-28,32.400000000000006,15.552,Office Supplies,Paper,Washington,West
US-2022-139080,January,2022,2022-01-28,86.352,8.6352,Technology,Phones,Washington,West
US-2022-104437,January,2022,2022-01-31,137.94,35.8644,Technology,Phones,New York,East
US-2022-101959,February,2022,2022-03-06,9.84,4.7232,Office Supplies,Binders,Connecticut,East
US-2022-119816,March,2022,2022-03-06,103.5,-77.625,Furniture,Furnishings,Texas,Central
US-2022-166128,April,2022,2022-04-18,199.95,21.9945,Technology,Accessories,California,West
US-2022-136826,June,2022,2022-06-20,14.016,4.7304,Office Supplies,Art,North Carolina,South
US-2022-136623,July,2022,2022-07-16,29.8,9.3125,Office Supplies,Binders,California,West
US-2022-130687,September,2022,2022-09-10,80.96,34.8128,Furniture,Furnishings,Washington,West
US-2022-140186,September,2022,2022-10-02,97.84,25.4384,Office Supplies,Appliances,California,West
US-2022-159667,November,2022,2022-11-13,191.976,38.3952,Technology,Accessories,Florida,South
US-2022-105543,November,2022,2022-11-24,33.29,7.9896,Office Supplies,Storage,Kansas,Central
US-2022-152695,December,2022,2022-12-10,426.79,123.7691,Office Supplies,Appliances,Connecticut,East
US-2019-103429,May,2019,2019-06-01,235.95,77.8635,Office Supplies,Appliances,New York,East
US-2019-133305,July,2019,2019-07-15,18.28,6.398,Office Supplies,Binders,New York,East
US-2019-143917,July,2019,2019-07-27,8187.65,327.506,Office Supplies,Supplies,California,West
US-2019-124478,August,2019,2019-08-12,38.34,17.253,Office Supplies,Envelopes,Michigan,Central
US-2019-126403,September,2019,2019-09-12,1325.85,238.653,Office Supplies,Storage,Massachusetts,East
US-2019-142769,September,2019,2019-09-13,462.94000000000005,156.93560000000002,Technology,Accessories,Washington,West
US-2019-150329,October,2019,2019-10-14,46.872,3.5154,Furniture,Furnishings,Arizona,West
US-2019-107454,November,2019,2019-11-06,89.34,24.1218,Furniture,Furnishings,New York,East
US-2019-149244,November,2019,2019-11-08,35.34,13.4292,Furniture,Furnishings,California,West
US-2019-159618,November,2019,2019-11-16,79.512,20.8719,Technology,Accessories,Texas,Central
US-2020-132948,March,2020,2020-04-03,83.7,3.348,Office Supplies,Storage,Washington,West
US-2020-130365,April,2020,2020-04-29,128.058,-23.7822,Furniture,Chairs,Illinois,Central
US-2020-100251,May,2020,2020-05-23,null,0,Office Supplies,Supplies,New York,East
US-2020-128860,June,2020,2020-07-05,20.104,1.7591,Furniture,Furnishings,Pennsylvania,East
US-2020-120810,July,2020,2020-07-27,128.82,50.2398,Furniture,Furnishings,New York,East
US-2020-120810,July,2020,2020-07-27,68.94,20.682,Office Supplies,Appliances,New York,East
US-2020-132507,July,2020,2020-08-03,61.792,6.1792,Office Supplies,Storage,Texas,Central
US-2020-102016,September,2020,2020-09-18,9.26,3.0558,Office Supplies,Art,New York,East
US-2020-161347,September,2020,2020-09-19,2.412,-2.01,Office Supplies,Binders,Pennsylvania,East
US-2020-113131,September,2020,2020-09-24,15.84,5.544,Office Supplies,Envelopes,Ohio,East
US-2020-141810,November,2020,2020-11-07,29.372,-46.9952,Office Supplies,Binders,Texas,Central
US-2020-140410,November,2020,2020-11-07,89.97,37.7874,Technology,Accessories,California,West
US-2020-164497,November,2020,2020-11-30,45.28,15.3952,Office Supplies,Appliances,California,West
US-2020-137113,December,2020,2020-12-05,32.4,15.552,Office Supplies,Paper,Washington,West
US-2020-156440,December,2020,2020-12-09,44.46,14.6718,Furniture,Furnishings,California,West
US-2021-164483,January,2021,2021-02-03,17.456,5.8914,Office Supplies,Binders,California,West
US-2021-154060,May,2021,2021-05-08,187.056,11.691,Furniture,Chairs,North Carolina,South
US-2021-159093,May,2021,2021-05-14,32.04,14.418,Office Supplies,Paper,California,West
US-2021-134908,June,2021,2021-06-09,7.56,2.646,Office Supplies,Labels,Pennsylvania,East
US-2021-161095,June,2021,2021-06-28,41.32,14.5589,Office Supplies,Binders,California,West
US-2021-103891,July,2021,2021-07-19,95.76,7.182,Technology,Phones,California,West
US-2021-157000,July,2021,2021-07-22,20.016,6.255,Office Supplies,Paper,Texas,Central
US-2021-111290,July,2021,2021-07-26,109.95,36.2835,Technology,Accessories,Michigan,Central
US-2021-112256,July,2021,2021-07-28,5.184,1.8144,Office Supplies,Paper,Texas,Central
US-2021-112025,July,2021,2021-08-04,9.264,-13.896,Office Supplies,Binders,Texas,Central
US-2021-105459,August,2021,2021-08-17,1591.02,286.3836,Office Supplies,Storage,New York,East
US-2021-167241,August,2021,2021-08-22,165.6,10.35,Technology,Phones,California,West
US-2021-148334,August,2021,2021-08-26,4.312,-6.8992,Office Supplies,Binders,Texas,Central
US-2021-166429,September,2021,2021-09-08,999.98,449.991,Technology,Copiers,Washington,West
US-2021-128867,November,2021,2021-11-10,27.24,13.3476,Office Supplies,Binders,Iowa,Central
US-2021-165330,December,2021,2021-12-11,50.22,2.0088,Office Supplies,Storage,California,West
US-2021-133795,December,2021,2021-12-24,39.92,11.1776,Furniture,Furnishings,California,West
US-2022-114034,January,2022,2022-01-08,38.88,18.6624,Office Supplies,Paper,California,West
US-2022-127306,January,2022,2022-01-18,8.478,-6.4162,Office Supplies,Binders,Tennessee,South
CA-2022-115238,January,2022,2022-01-24,209.5,58.66,Technology,Phones,Ontario,East
US-2022-131828,February,2022,2022-02-13,88.776,7.7679,Technology,Phones,Washington,West
US-2022-152786,March,2022,2022-03-17,40.41,18.5886,Office Supplies,Binders,Arkansas,South
US-2022-128965,April,2022,2022-04-22,218.352,-19.1058,Furniture,Chairs,California,West
US-2022-140298,May,2022,2022-05-17,74.416,-14.8832,Office Supplies,Storage,Texas,Central
US-2022-119284,June,2022,2022-06-20,120.96,-28.224,Furniture,Tables,Tennessee,South
US-2022-143063,August,2022,2022-08-15,121.3,25.473,Furniture,Furnishings,Indiana,Central
US-2022-166093,August,2022,2022-08-24,8.56,3.852,Office Supplies,Paper,California,West
US-2022-166093,August,2022,2022-08-24,71.976,8.997,Technology,Phones,California,West
US-2022-105669,September,2022,2022-09-22,5.8,-10.15,Office Supplies,Binders,Texas,Central
US-2022-108574,October,2022,2022-10-11,1115.91,200.8638,Technology,Accessories,California,West
CA-2022-107004,October,2022,2022-10-24,19.44,9.33,Technology,Phones,British Columbia,West
US-2022-123491,October,2022,2022-11-05,71.992,-0.8999,Furniture,Chairs,California,West
US-2022-118017,December,2022,2022-12-06,10.32,3.741,Office Supplies,Paper,Colorado,West
US-2022-160031,December,2022,2022-12-07,null,0.2,Office Supplies,Paper,Ohio,East
US-2022-167920,December,2022,2022-12-12,1399.98,629.991,Technology,Copiers,Kentucky,South
US-2019-157623,March,2019,2019-03-18,10.56,4.752,Office Supplies,Paper,California,West
CA-2019-131807,October,2019,2019-10-10,14.9,6.85,Office Supplies,Fasteners,Alberta,West
US-2019-128524,November,2019,2019-11-13,102.13,15.3195,Technology,Accessories,Washington,West
US-2019-111353,November,2019,2019-12-06,25.06,11.7782,Office Supplies,Labels,New York,East
US-2019-120852,December,2019,2019-12-25,19.432,-49.5516,Office Supplies,Appliances,Texas,Central
US-2020-145415,April,2020,2020-04-17,40.74,0.4074,Office Supplies,Storage,Washington,West
US-2020-137512,May,2020,2020-05-12,244.006,-31.3722,Furniture,Tables,Texas,Central
US-2020-140851,July,2020,2020-07-15,38.88,18.6624,Office Supplies,Paper,Georgia,South
US-2020-146948,July,2020,2020-07-20,150.98,43.7842,Furniture,Chairs,Maryland,East
US-2020-112014,August,2020,2020-08-20,50.8,13.208,Office Supplies,Art,California,West
US-2020-110765,October,2020,2020-10-20,824.97,214.4922,Technology,Phones,New York,East
US-2020-162537,October,2020,2020-11-03,57.21,22.0709,Furniture,Furnishings,Kentucky,South
US-2020-113628,November,2020,2020-11-19,100.792,10.0792,Technology,Phones,Florida,South
US-2020-107083,November,2020,2020-11-27,24.588,-67.617,Office Supplies,Appliances,Texas,Central
US-2020-168935,November,2020,2020-12-02,375.4575,-157.0095,Furniture,Tables,Florida,South
US-2020-160059,November,2020,2020-12-01,6.24,3.0576,Office Supplies,Binders,Arkansas,South
US-2021-108882,January,2021,2021-01-15,377.928,141.723,Technology,Phones,California,West
US-2021-123050,April,2021,2021-04-08,89.97,37.7874,Technology,Accessories,New York,East
US-2021-100300,June,2021,2021-06-26,4476.8,503.64,Technology,Machines,California,West
US-2021-137050,July,2021,2021-07-18,17.688000000000002,6.084,Office Supplies,Binders,New York,East
US-2021-155481,September,2021,2021-09-05,23.988,-4.7976,Technology,Phones,Pennsylvania,East
US-2021-159009,September,2021,2021-09-27,184.752,-20.7846,Furniture,Chairs,Washington,West
US-2021-147340,September,2021,2021-09-24,63.2,23.384,Furniture,Furnishings,California,West
US-2021-111794,October,2021,2021-10-01,28.352,9.5688,Office Supplies,Paper,Texas,Central
US-2021-154711,November,2021,2021-11-26,null,0.2,Office Supplies,Binders,New York,East
US-2021-122017,December,2021,2022-01-02,70.56,23.9904,Furniture,Furnishings,Kansas,Central
US-2021-160486,December,2021,2022-01-04,72.224,25.2784,Office Supplies,Paper,Florida,South
US-2022-129224,March,2022,2022-03-23,4.608,1.6704,Office Supplies,Labels,Tennessee,South
US-2022-165904,April,2022,2022-04-11,219.184,19.1786,Technology,Phones,Florida,South
US-2022-166695,May,2022,2022-05-24,343.2,38.61,Technology,Machines,California,West
US-2022-140844,June,2022,2022-06-23,97.82,45.9754,Office Supplies,Paper,New York,East
US-2022-131695,June,2022,2022-07-06,248.57,67.1139,Office Supplies,Storage,New York,East
US-2022-145128,July,2022,2022-07-14,526.45,31.587,Furniture,Furnishings,Indiana,Central
US-2022-128951,July,2022,2022-07-17,12.96,6.2208,Office Supplies,Paper,Virginia,South
US-2022-142573,July,2022,2022-07-23,7.656,-6.1248,Office Supplies,Binders,Arizona,West
US-2022-155999,August,2022,2022-08-13,13.76,4.644,Office Supplies,Binders,California,West
US-2022-112515,September,2022,2022-09-21,14.4,7.056,Office Supplies,Labels,Utah,West
US-2022-112004,September,2022,2022-09-28,8.595,-6.303,Office Supplies,Binders,Pennsylvania,East
US-2022-147452,September,2022,2022-10-03,167.94,82.2906,Office Supplies,Paper,Washington,West
US-2022-105389,October,2022,2022-10-28,10.272,0.8988,Office Supplies,Art,Texas,Central
US-2022-152583,October,2022,2022-10-30,54.192,4.0644,Office Supplies,Storage,Texas,Central
US-2022-116715,December,2022,2022-12-05,559.62,151.0974,Office Supplies,Storage,California,West
US-2022-158526,December,2022,2023-01-01,34.58,10.0282,Office Supplies,Art,Kentucky,South
US-2019-118192,January,2019,2019-01-18,3.438,-2.5212,Office Supplies,Binders,Ohio,East
US-2019-110422,January,2019,2019-01-23,25.248,4.1028,Furniture,Furnishings,Florida,South
US-2019-131275,March,2019,2019-03-24,1856.19,334.1142,Office Supplies,Storage,California,West
US-2019-148040,March,2019,2019-03-26,314.352,-35.3646,Furniture,Chairs,Arizona,West
US-2019-135755,May,2019,2019-05-10,51.072,18.5136,Office Supplies,Binders,New York,East
US-2019-110219,May,2019,2019-05-08,127.869,-9.1335,Furniture,Chairs,Texas,Central
