order_id,quantity,month_name,day_name,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
1,1,April,Monday,11,12.0,12.0,S,Classic,The Napolitana Pizza
1,1,May,Tuesday,21,16.0,16.0,M,Classic,The Italian Capocollo Pizza
1,1,February,Friday,14,12.0,12.0,S,Classic,The Napolitana Pizza
3,3,January,Monday,19,55.5,55.5,L,Veggie,The Five Cheese Pizza
2,2,February,Monday,13,33.5,33.5,M,Chicken,The California Chicken Pizza
2,2,April,Monday,13,24.5,24.5,S,Supreme,The Sicilian Pizza
3,3,January,Tuesday,16,61.5,61.5,L,Classic,The Italian Capocollo Pizza
1,1,January,Sunday,12,12.5,12.5,S,Supreme,The Pepper Salami Pizza
2,2,February,Sunday,17,41.5,41.5,L,Chicken,The Thai Chicken Pizza
1,1,May,Thursday,20,12.0,12.0,S,Veggie,The Spinach and Feta Pizza
2,2,January,Sunday,16,25.0,25.0,S,Supreme,The Prosciutto and Arugula Pizza
2,2,January,Tuesday,18,24.0,24.0,S,Classic,The Greek Pizza
1,1,May,Thursday,18,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
2,2,January,Thursday,14,24.0,24.0,S,Classic,The Classic Deluxe Pizza
1,1,February,Sunday,22,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
1,1,March,Sunday,16,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
1,1,March,Sunday,16,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,April,Tuesday,21,16.0,16.0,M,Veggie,The Mexicana Pizza
2,2,May,Sunday,16,35.9,35.9,L,Veggie,The Four Cheese Pizza
2,2,February,Sunday,18,24.0,24.0,S,Veggie,The Spinach and Feta Pizza
1,1,April,Thursday,22,16.5,16.5,L,Classic,The Hawaiian Pizza
1,1,April,Wednesday,13,16.0,16.0,M,Classic,The Greek Pizza
1,1,March,Thursday,11,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
1,1,May,Monday,14,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,March,Thursday,19,20.75,20.75,L,Supreme,The Soppressata Pizza
2,2,May,Monday,20,37.0,37.0,L,Veggie,The Five Cheese Pizza
2,2,April,Thursday,14,24.5,24.5,S,Supreme,The Sicilian Pizza
1,1,May,Thursday,10,20.75,20.75,L,Chicken,The Thai Chicken Pizza
1,1,February,Wednesday,17,20.25,20.25,L,Supreme,The Calabrese Pizza
2,2,May,Sunday,17,24.0,24.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,August,Tuesday,12,20.25,20.25,L,Supreme,The Sicilian Pizza
1,1,August,Thursday,14,15.25,15.25,L,Classic,The Pepperoni Pizza
3,3,September,Saturday,15,50.25,50.25,M,Chicken,The Thai Chicken Pizza
1,1,November,Wednesday,16,16.0,16.0,M,Veggie,The Green Garden Pizza
1,1,June,Wednesday,20,18.5,18.5,L,Veggie,The Five Cheese Pizza
2,2,July,Wednesday,13,25.5,25.5,S,Chicken,The Barbecue Chicken Pizza
1,1,September,Saturday,21,20.75,20.75,L,Supreme,The Italian Supreme Pizza
2,2,September,Tuesday,16,32.5,32.5,M,Supreme,The Calabrese Pizza
1,1,July,Tuesday,17,16.5,16.5,M,Supreme,The Spicy Italian Pizza
1,1,September,Tuesday,15,15.25,15.25,L,Classic,The Pepperoni Pizza
1,1,October,Saturday,19,16.25,16.25,M,Supreme,The Sicilian Pizza
2,2,July,Wednesday,16,41.5,41.5,L,Supreme,The Soppressata Pizza
2,2,October,Friday,18,19.5,19.5,S,Classic,The Pepperoni Pizza
3,3,August,Wednesday,13,36.0,36.0,S,Classic,The Classic Deluxe Pizza
1,1,September,Saturday,21,16.5,16.5,M,Veggie,The Spinach Pesto Pizza
4,4,July,Thursday,13,50.0,50.0,M,Classic,The Pepperoni Pizza
3,3,November,Monday,12,38.25,38.25,S,Chicken,The Thai Chicken Pizza
2,2,November,Friday,18,24.0,24.0,S,Classic,The Italian Capocollo Pizza
1,1,December,Sunday,18,20.75,20.75,L,Supreme,The Pepper Salami Pizza
2,2,August,Wednesday,11,32.5,32.5,M,Supreme,The Calabrese Pizza
1,1,July,Friday,19,12.5,12.5,S,Supreme,The Spicy Italian Pizza
1,1,November,Saturday,18,12.75,12.75,S,Chicken,The Chicken Pesto Pizza
1,1,July,Wednesday,20,15.25,15.25,L,Classic,The Pepperoni Pizza
1,1,September,Sunday,16,9.75,9.75,S,Classic,The Pepperoni Pizza
1,1,August,Friday,11,16.0,16.0,M,Veggie,The Green Garden Pizza
2,2,August,Sunday,20,19.5,19.5,S,Classic,The Pepperoni Pizza
1,1,November,Tuesday,14,20.25,20.25,L,Veggie,The Mexicana Pizza
3,3,November,Sunday,18,48.0,48.0,M,Classic,The Classic Deluxe Pizza
1,1,September,Friday,14,20.75,20.75,L,Supreme,The Spicy Italian Pizza
1,1,September,Thursday,13,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
1,1,December,Friday,15,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
1,1,July,Saturday,16,16.75,16.75,M,Veggie,The Italian Vegetables Pizza
2,2,November,Tuesday,16,25.0,25.0,S,Supreme,The Spinach Supreme Pizza
1,1,November,Saturday,11,12.5,12.5,S,Supreme,The Prosciutto and Arugula Pizza
1,1,October,Saturday,18,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,July,Friday,11,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
1,1,August,Sunday,19,16.0,16.0,M,Veggie,The Mexicana Pizza
1,1,November,Saturday,21,15.25,15.25,L,Classic,The Pepperoni Pizza
3,3,October,Saturday,13,36.0,36.0,S,Classic,The Classic Deluxe Pizza
1,1,October,Sunday,17,12.0,12.0,S,Classic,The Greek Pizza
1,1,December,Thursday,16,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
4,4,December,Wednesday,13,64.0,64.0,M,Classic,The Greek Pizza
1,2,December,Thursday,12,12.5,25.0,S,Veggie,The Spinach Pesto Pizza
1,1,September,Monday,22,18.5,18.5,L,Veggie,The Five Cheese Pizza
1,1,June,Friday,21,12.0,12.0,S,Classic,The Classic Deluxe Pizza
2,2,May,Friday,17,41.5,41.5,L,Chicken,The Barbecue Chicken Pizza
1,1,March,Wednesday,16,15.25,15.25,L,Classic,The Pepperoni Pizza
2,2,February,Thursday,12,41.0,41.0,L,Classic,The Napolitana Pizza
1,1,February,Saturday,12,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
2,2,March,Monday,11,33.5,33.5,M,Chicken,The Thai Chicken Pizza
3,3,April,Monday,21,36.0,36.0,S,Classic,The Big Meat Pizza
1,1,March,Thursday,12,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
1,1,May,Friday,16,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
3,3,June,Saturday,17,76.5,76.5,XL,Classic,The Greek Pizza
3,3,June,Wednesday,16,55.5,55.5,L,Veggie,The Five Cheese Pizza
2,2,April,Friday,17,41.5,41.5,L,Chicken,The Southwest Chicken Pizza
2,2,January,Wednesday,17,24.5,24.5,S,Supreme,The Sicilian Pizza
1,1,April,Sunday,19,16.0,16.0,M,Veggie,The Spinach and Feta Pizza
1,1,June,Sunday,15,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
1,1,April,Tuesday,16,12.5,12.5,S,Supreme,The Soppressata Pizza
1,1,January,Friday,11,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
2,2,April,Friday,17,25.5,25.5,S,Chicken,The Barbecue Chicken Pizza
2,2,May,Saturday,12,25.5,25.5,S,Chicken,The Barbecue Chicken Pizza
1,2,January,Friday,19,20.75,41.5,L,Supreme,The Spicy Italian Pizza
2,2,January,Tuesday,12,32.0,32.0,M,Classic,The Napolitana Pizza
1,1,April,Sunday,18,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
1,1,February,Tuesday,16,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
1,1,April,Thursday,11,16.25,16.25,M,Supreme,The Sicilian Pizza
5,5,June,Monday,16,103.75,103.75,L,Chicken,The Thai Chicken Pizza
1,1,April,Sunday,17,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
1,1,February,Sunday,19,10.5,10.5,S,Classic,The Hawaiian Pizza
2,2,March,Saturday,19,25.0,25.0,M,Classic,The Pepperoni Pizza
2,2,March,Friday,12,25.0,25.0,S,Supreme,The Spicy Italian Pizza
1,1,May,Thursday,14,16.0,16.0,M,Classic,The Classic Deluxe Pizza
2,2,May,Sunday,13,35.9,35.9,L,Veggie,The Four Cheese Pizza
1,1,June,Wednesday,14,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,February,Monday,11,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
1,1,May,Friday,11,12.0,12.0,S,Classic,The Classic Deluxe Pizza
1,1,June,Friday,15,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
2,2,February,Friday,19,30.5,30.5,L,Classic,The Pepperoni Pizza
2,2,April,Friday,19,37.0,37.0,L,Veggie,The Five Cheese Pizza
1,1,May,Wednesday,17,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
1,1,March,Saturday,21,16.0,16.0,M,Veggie,The Spinach and Feta Pizza
1,1,June,Friday,19,12.25,12.25,S,Supreme,The Sicilian Pizza
2,2,April,Wednesday,15,24.5,24.5,S,Supreme,The Calabrese Pizza
1,1,January,Sunday,13,12.0,12.0,S,Classic,The Napolitana Pizza
1,1,March,Saturday,22,16.5,16.5,M,Supreme,The Spicy Italian Pizza
1,1,April,Friday,12,23.65,23.65,S,Supreme,The Brie Carre Pizza
2,2,January,Sunday,13,41.5,41.5,L,Chicken,The Thai Chicken Pizza
2,2,April,Friday,11,41.0,41.0,L,Classic,The Italian Capocollo Pizza
1,1,February,Monday,17,12.0,12.0,S,Veggie,The Spinach and Feta Pizza
2,2,January,Tuesday,14,33.5,33.5,M,Chicken,The Thai Chicken Pizza
1,1,January,Tuesday,16,15.25,15.25,L,Classic,The Pepperoni Pizza
1,1,March,Monday,12,21.0,21.0,L,Veggie,The Italian Vegetables Pizza
2,2,January,Monday,13,40.5,40.5,L,Veggie,The Mexicana Pizza
1,1,January,Tuesday,14,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
1,1,June,Friday,22,16.0,16.0,M,Classic,The Classic Deluxe Pizza
2,2,November,Friday,21,32.0,32.0,M,Classic,The Classic Deluxe Pizza
3,3,August,Tuesday,12,38.25,38.25,S,Chicken,The Thai Chicken Pizza
2,2,November,Sunday,15,29.5,29.5,M,Veggie,The Four Cheese Pizza
1,1,September,Wednesday,13,20.5,20.5,L,Classic,The Greek Pizza
2,2,October,Thursday,17,33.0,33.0,L,Classic,The Hawaiian Pizza
6,6,October,Friday,13,72.0,72.0,S,Classic,The Big Meat Pizza
1,1,June,Monday,16,13.25,13.25,M,Classic,The Hawaiian Pizza
1,1,August,Saturday,18,12.75,12.75,S,Chicken,The Chicken Pesto Pizza
1,1,November,Tuesday,21,20.25,20.25,L,Veggie,The Mexicana Pizza
1,1,July,Saturday,13,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
3,3,September,Wednesday,13,70.94999999999999,70.94999999999999,S,Supreme,The Brie Carre Pizza
3,4,July,Tuesday,12,49.5,66.0,L,Classic,The Hawaiian Pizza
2,2,October,Thursday,16,40.5,40.5,L,Supreme,The Calabrese Pizza
1,1,October,Friday,13,16.75,16.75,M,Chicken,The California Chicken Pizza
1,1,October,Wednesday,12,20.5,20.5,L,Classic,The Classic Deluxe Pizza
2,2,August,Monday,19,33.0,33.0,M,Supreme,The Italian Supreme Pizza
1,1,October,Thursday,20,16.5,16.5,M,Supreme,The Italian Supreme Pizza
1,1,November,Sunday,17,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
2,2,September,Tuesday,21,25.5,25.5,S,Chicken,The Southwest Chicken Pizza
1,1,September,Thursday,19,12.5,12.5,M,Classic,The Pepperoni Pizza
3,3,November,Thursday,13,60.75,60.75,L,Veggie,The Mexicana Pizza
3,3,July,Wednesday,13,36.0,36.0,S,Veggie,The Spinach and Feta Pizza
3,3,November,Saturday,21,62.25,62.25,L,Chicken,The Southwest Chicken Pizza
2,2,September,Thursday,12,33.5,33.5,M,Veggie,The Italian Vegetables Pizza
2,2,July,Friday,20,25.5,25.5,S,Chicken,The California Chicken Pizza
3,3,June,Tuesday,20,49.5,49.5,L,Classic,The Hawaiian Pizza
1,1,November,Tuesday,11,12.0,12.0,S,Classic,The Napolitana Pizza
2,2,September,Monday,20,33.5,33.5,M,Chicken,The Thai Chicken Pizza
2,2,June,Sunday,17,41.0,41.0,L,Classic,The Italian Capocollo Pizza
2,2,June,Thursday,12,41.5,41.5,L,Chicken,The Thai Chicken Pizza
1,1,November,Saturday,15,16.0,16.0,M,Veggie,The Green Garden Pizza
1,1,December,Thursday,13,12.75,12.75,S,Chicken,The Thai Chicken Pizza
2,2,November,Monday,16,41.5,41.5,L,Supreme,The Spicy Italian Pizza
1,1,December,Sunday,14,16.25,16.25,M,Supreme,The Calabrese Pizza
1,1,November,Monday,20,12.5,12.5,S,Veggie,The Spinach Pesto Pizza
1,1,November,Wednesday,12,20.25,20.25,L,Supreme,The Calabrese Pizza
1,1,November,Saturday,15,12.75,12.75,S,Chicken,The Chicken Alfredo Pizza
1,1,July,Sunday,18,16.0,16.0,M,Classic,The Classic Deluxe Pizza
2,2,December,Wednesday,13,24.0,24.0,S,Veggie,The Mexicana Pizza
1,1,September,Monday,11,16.0,16.0,M,Classic,The Greek Pizza
1,1,August,Saturday,18,12.0,12.0,S,Veggie,The Green Garden Pizza
2,2,July,Friday,22,41.5,41.5,L,Chicken,The Barbecue Chicken Pizza
1,1,August,Friday,22,16.5,16.5,M,Supreme,The Soppressata Pizza
1,1,October,Tuesday,16,20.75,20.75,L,Supreme,The Soppressata Pizza
1,1,December,Thursday,11,14.5,14.5,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,November,Tuesday,11,35.95,35.95,XXL,Classic,The Greek Pizza
2,2,December,Saturday,16,41.5,41.5,L,Supreme,The Italian Supreme Pizza
1,1,December,Saturday,13,16.0,16.0,M,Classic,The Italian Capocollo Pizza
1,1,February,Sunday,20,12.0,12.0,S,Veggie,The Green Garden Pizza
1,1,March,Monday,12,20.75,20.75,L,Supreme,The Soppressata Pizza
1,1,April,Tuesday,12,16.25,16.25,M,Supreme,The Calabrese Pizza
1,1,January,Monday,16,20.75,20.75,L,Supreme,The Pepper Salami Pizza
2,2,January,Tuesday,13,32.0,32.0,M,Classic,The Greek Pizza
2,2,February,Sunday,14,37.0,37.0,L,Veggie,The Five Cheese Pizza
2,2,April,Tuesday,19,25.5,25.5,S,Chicken,The Southwest Chicken Pizza
4,4,April,Tuesday,12,83.0,83.0,L,Chicken,The Thai Chicken Pizza
2,2,June,Tuesday,12,32.5,32.5,M,Supreme,The Sicilian Pizza
2,2,April,Wednesday,18,25.5,25.5,S,Chicken,The Southwest Chicken Pizza
2,2,May,Saturday,19,40.5,40.5,L,Supreme,The Sicilian Pizza
2,2,May,Wednesday,22,25.5,25.5,S,Chicken,The California Chicken Pizza
2,2,May,Sunday,22,25.5,25.5,S,Chicken,The Thai Chicken Pizza
2,2,May,Sunday,14,41.5,41.5,L,Supreme,The Spicy Italian Pizza
4,4,March,Thursday,16,42.0,42.0,S,Classic,The Hawaiian Pizza
1,1,May,Wednesday,20,16.0,16.0,M,Classic,The Classic Deluxe Pizza
1,1,June,Sunday,16,25.5,25.5,XL,Classic,The Greek Pizza
1,1,April,Sunday,18,20.75,20.75,L,Chicken,The Thai Chicken Pizza
3,3,March,Tuesday,13,62.25,62.25,L,Chicken,The Thai Chicken Pizza
1,1,January,Monday,12,14.75,14.75,M,Veggie,The Four Cheese Pizza
1,1,April,Wednesday,19,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
1,1,May,Tuesday,18,12.5,12.5,S,Veggie,The Spinach Pesto Pizza
1,1,March,Monday,13,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
1,1,March,Thursday,16,12.5,12.5,M,Classic,The Pepperoni Pizza
1,1,May,Monday,21,10.5,10.5,S,Classic,The Hawaiian Pizza
1,1,April,Saturday,12,16.5,16.5,L,Classic,The Hawaiian Pizza
1,1,March,Thursday,18,12.0,12.0,S,Classic,The Greek Pizza
1,1,March,Saturday,20,9.75,9.75,S,Classic,The Pepperoni Pizza
3,3,February,Friday,16,29.25,29.25,S,Classic,The Pepperoni Pizza
2,2,April,Thursday,20,41.5,41.5,L,Supreme,The Italian Supreme Pizza
1,1,April,Wednesday,14,20.5,20.5,L,Classic,The Napolitana Pizza
1,1,March,Monday,15,20.25,20.25,L,Veggie,The Mediterranean Pizza
2,2,March,Monday,17,41.0,41.0,L,Classic,The Classic Deluxe Pizza
1,1,February,Thursday,19,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
1,1,March,Tuesday,13,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
1,1,April,Sunday,13,9.75,9.75,S,Classic,The Pepperoni Pizza
1,1,August,Monday,18,23.65,23.65,S,Supreme,The Brie Carre Pizza
2,2,September,Friday,14,32.0,32.0,M,Veggie,The Green Garden Pizza
1,1,November,Friday,13,14.75,14.75,M,Veggie,The Four Cheese Pizza
1,1,September,Monday,16,12.5,12.5,S,Supreme,The Spicy Italian Pizza
2,2,September,Thursday,11,24.0,24.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,August,Saturday,13,20.5,20.5,L,Classic,The Greek Pizza
1,1,November,Thursday,18,16.5,16.5,M,Supreme,The Spicy Italian Pizza
2,2,September,Tuesday,18,33.0,33.0,M,Supreme,The Italian Supreme Pizza
2,2,September,Friday,21,33.5,33.5,M,Chicken,The Barbecue Chicken Pizza
2,2,July,Wednesday,22,33.0,33.0,M,Supreme,The Italian Supreme Pizza
1,1,August,Thursday,13,12.0,12.0,S,Veggie,The Spinach and Feta Pizza
2,2,October,Thursday,13,51.0,51.0,XL,Classic,The Greek Pizza
1,1,June,Friday,12,9.75,9.75,S,Classic,The Pepperoni Pizza
4,4,July,Tuesday,13,82.0,82.0,L,Classic,The Napolitana Pizza
1,1,August,Friday,17,12.25,12.25,S,Supreme,The Sicilian Pizza
1,1,October,Tuesday,13,14.75,14.75,M,Veggie,The Four Cheese Pizza
1,1,July,Tuesday,17,25.5,25.5,XL,Classic,The Greek Pizza
1,1,September,Sunday,17,12.0,12.0,S,Veggie,The Mexicana Pizza
1,1,November,Tuesday,18,20.25,20.25,L,Veggie,The Mexicana Pizza
2,2,December,Tuesday,13,47.3,47.3,S,Supreme,The Brie Carre Pizza
3,3,August,Monday,12,37.5,37.5,M,Classic,The Pepperoni Pizza
2,2,July,Friday,15,41.5,41.5,L,Chicken,The Thai Chicken Pizza
1,1,June,Monday,16,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,November,Monday,16,16.0,16.0,M,Veggie,The Spinach and Feta Pizza
1,1,June,Monday,12,20.75,20.75,L,Supreme,The Soppressata Pizza
1,1,August,Monday,14,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
1,1,July,Wednesday,17,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza
